tab3,ProxyID,ExpulsionSchOrDist,LongTermSuspension,ShortTermSuspension
3) Disc,3001717,0,0,1
3) Disc,3026749,0,0,1
3) Disc,3178418,0,1,1
3) Disc,3270412,0,0,1
3) Disc,3358417,0,1,3
3) Disc,3401786,0,0,1
3) Disc,3927418,0,1,0
3) Disc,3988786,0,0,1
3) Disc,6533772,0,0,1
3) Disc,6677765,0,0,1
3) Disc,7066547,0,0,1
3) Disc,7077960,0,0,1
3) Disc,7210381,0,0,3
3) Disc,7216389,0,0,1
3) Disc,7220871,0,0,1
3) Disc,7331823,0,0,1
3) Disc,7353893,0,0,1
3) Disc,7416855,0,2,0
3) Disc,7482001,0,1,0
3) Disc,7686938,0,0,1
3) Disc,7722980,0,1,0
3) Disc,7800851,0,0,2
3) Disc,7849317,0,1,0
3) Disc,7877596,0,0,1
3) Disc,7894299,0,0,1
3) Disc,7902890,0,0,1
3) Disc,7929386,0,0,3
3) Disc,7935696,0,0,1
3) Disc,7990395,0,0,3
3) Disc,3294741,0,0,1
3) Disc,3294756,0,0,1
3) Disc,3614790,0,0,2
3) Disc,3628413,0,0,2
3) Disc,3766417,0,0,1
3) Disc,3905749,0,0,2
3) Disc,6095715,0,0,1
3) Disc,6170531,0,0,1
3) Disc,6309510,1,1,0
3) Disc,6491407,0,0,2
3) Disc,6491458,0,0,1
3) Disc,6783703,0,0,1
3) Disc,6983497,0,0,1
3) Disc,7015129,0,0,1
3) Disc,7122261,0,1,0
3) Disc,7184024,0,1,0
3) Disc,7205860,0,0,1
3) Disc,7246871,0,0,1
3) Disc,7266381,0,0,1
3) Disc,7342384,0,0,1
3) Disc,7375107,0,0,1
3) Disc,7401312,0,0,5
3) Disc,7453170,0,0,1
3) Disc,7585198,1,0,0
3) Disc,7653826,0,1,5
3) Disc,7769693,0,0,2
3) Disc,7916028,0,0,3
3) Disc,7973153,0,0,1