SchoolID_NK,SchoolName,n_frl,n_all,FrlStudPer
103,Denny International Middle School,618,931,66
104,Eckstein Middle School,314,1215,26
105,Hamilton International Middle School,111,1097,10
107,Madison Middle School,266,756,35
11,Ballard High School,289,1568,18
110,Mercer International Middle School,706,967,73
115,Whitman Middle School,278,941,30
117,Washington Middle School,541,1130,48
118,McClure Middle School,115,521,22
12,Cleveland High School,576,811,71
13,Franklin High School,889,1298,68
130,Aki Kurose Middle School,633,748,85
14,Garfield High School,619,1589,39
17,Roosevelt High School,252,1688,15
18,Chief Sealth International High School,743,1211,61
19,West Seattle High School,383,931,41
20,Ingraham High School,376,1065,35
201,Adams Elementary,118,514,23
202,Alki Elementary,93,394,24
203,Arbor Heights Elementary,137,362,38
204,Daniel Bagley Elementary,68,401,17
205,Beacon Hill International School,281,467,60
207,Martin Luther King Jr. Elementary,366,407,90
208,Broadview-Thomson K-8 School,436,703,62
209,Bryant Elementary,42,581,7
21,Rainier Beach High School,367,446,82
211,Frantz Coe Elementary,101,517,20
212,Thurgood Marshall Elementary,148,492,30
215,Concord International School,366,453,81
218,B.F. Day Elementary,125,322,39
219,Dunlap Elementary,410,478,86
22,Nathan Hale High School,345,1109,31
220,Graham Hill Elementary,263,393,67
221,Emerson Elementary,231,288,80
225,Gatewood Elementary,173,490,35
226,Bailey Gatzert Elementary,368,395,93
229,Green Lake Elementary,51,274,19
23,Nova High School,82,310,26
230,Greenwood Elementary,91,398,23
233,Hawthorne Elementary,266,359,74
234,John Hay Elementary,93,562,17
235,Highland Park Elementary,351,454,77
236,West Seattle Elementary,436,493,88
239,Lafayette Elementary,124,567,22
24,The Center School,50,267,19
241,John Stanford International School,39,449,9
242,Laurelhurst Elementary,47,418,11
243,Lawton Elementary,55,425,13
244,Leschi Elementary,199,367,54
245,Lowell Elementary,124,255,49
246,Loyal Heights Elementary,34,446,8
247,McDonald International Elementary,47,373,13
248,McGilvra Elementary,41,295,14
249,Madrona K-8 School,199,295,67
251,Dearborn Park International School,318,371,86
252,Maple Elementary,299,449,67
255,Montlake Elementary,17,235,7
256,John Muir Elementary,296,436,68
257,Northgate Elementary,207,254,81
259,North Beach Elementary,30,304,10
261,Olympic Hills Elementary,269,346,78
262,Olympic View Elementary,182,459,40
264,Rainier View Elementary,158,199,79
266,John Rogers Elementary,127,308,41
267,Roxhill Elementary,343,435,79
268,Sacajawea Elementary,69,254,27
269,Sand Point Elementary,123,267,46
270,Schmitz Park Elementary,44,588,7
272,Stevens Elementary,172,406,42
273,Sanislo Elementary,199,266,75
275,Van Asselt Elementary,457,544,84
276,Viewlands Elementary,187,328,57
277,View Ridge Elementary,41,597,7
279,Wedgwood Elementary,55,481,11
281,West Woodland Elementary,42,518,8
282,Whittier Elementary,54,463,12
286,Wing Luke Elementary,293,346,85
288,Kimball Elementary,279,454,61
289,Catharine Blaine K-8 School,56,639,9
291,South Shore K-8 School,419,668,63
292,Hazel Wolf K-8 School,241,771,31
349,Interagency Academy,446,548,81
908,Middle College High School,35,57,61
909,Middle College High School,23,77,30
910,Middle College High School,33,48,69
911,Middle College High School,13,31,42
916,Education Service Centers,12,16,75
930,Pathfinder K-8 School,129,494,26
935,TOPS K-8 School,165,510,32
939,Orca K-8 School,131,487,27
945,Cascade Parent Partnership,43,178,24
949,Salmon Bay School,60,673,9
955,Licton Springs K-8 School,94,180,52
960,South Lake High School,110,130,85
971,APP at Lincoln,*,596,*
972,K-5 STEM at Boren,96,343,28
974,Queen Anne Elementary,30,334,9
977,Thornton Creek Elementary,26,384,7
983,Seattle World School,293,300,98