zip,median,medianError
90001,34050,1069
90002,30214,2859
90003,30016,1594
90004,38493,2107
90005,31214,1052
90006,31403,708
90007,22646,1264
90008,36180,3478
90010,47308,13522
90011,29889,1243
90012,29492,2783
90013,21120,2581
90014,17134,4522
90015,28953,3170
90016,38050,2167
90017,21009,1800
90018,32104,2457
90019,43244,2179
90020,37121,1563
90021,12748,1885
90023,37082,2152
90024,59125,6610
90025,71278,4458
90026,46435,2256
90027,50316,2385
90028,31742,2322
90029,35253,2055
90031,34656,2301
90032,45208,2162
90033,27190,1459
90034,56743,2920
90035,75327,4307
90036,71049,3616
90037,26638,1526
90038,33850,2590
90039,67170,5228
90041,64545,4147
90042,51427,2394
90043,38738,2795
90044,28344,1938
90045,78082,4594
90046,56337,3299
90047,40528,3075
90048,72913,5560
90049,116732,7936
90056,76688,20310
90057,26940,1260
90058,15988,3932
90059,33678,2445
90061,34566,2735
90062,32067,3566
90063,39206,2290
90064,86573,5904
90065,52794,2966
90066,68346,3366
90067,89500,27182
90068,73373,6854
90069,78607,6893
90071,0,0
90073,0,0
90077,172443,23671
90079,0,0
90089,10625,2507
90090,0,0
90094,96010,27849
90095,0,0
90210,138750,14066
90211,69942,4353
90212,84516,11532
90230,73786,4102
90232,71316,8206
90245,84004,4018
90247,42968,2705
90248,51956,4886
90250,45766,1572
90262,42057,2095
90265,124814,11807
90272,157938,18988
90275,120742,5630
90290,106750,14916
90291,81025,3599
90292,103319,6237
90293,84588,7657
90301,37813,2206
90302,41187,2990
90303,40807,3163
90304,36778,3529
90305,62558,7284
90402,131607,16475
90403,72366,6752
90404,65035,8991
90405,78756,7750
90501,59878,4223
90502,62533,7187
90504,75180,5287
90710,54630,3669
90717,56245,3562
90731,49786,3255
90732,84537,5755
90744,41578,2049
90745,71757,2466
90802,44984,2534
90810,49087,4531
90813,31215,1251
91011,152210,13031
91030,80479,5586
91040,70830,5579
91042,57640,5630
91105,108882,14500
91201,50526,4027
91204,39753,4781
91205,37414,2543
91206,52077,4251
91214,89849,4686
91302,121715,5322
91303,46187,3458
91304,58361,3219
91306,60959,2176
91307,98655,3216
91311,80279,4231
91316,62016,6952
91321,57654,4122
91324,58993,5535
91325,57883,3746
91326,98831,3907
91330,0,0
91331,51345,2076
91335,51398,1934
91340,55217,2973
91342,60899,2341
91343,55238,2652
91344,77247,2855
91345,60148,4044
91352,49088,2884
91356,69148,5296
91364,93919,7645
91367,77152,5927
91371,0,0
91401,48994,3851
91402,39009,1592
91403,75334,6992
91405,38162,2145
91406,50381,2780
91411,43758,2626
91423,75671,3673
91436,128060,14166
91501,62500,7966
91504,71296,3143
91505,77679,5404
91506,70408,9119
91601,47202,3034
91602,63544,5728
91604,90528,7046
91605,43707,2139
91606,42195,2890
91607,52274,3291
91608,0,0
91754,56767,5102
91801,51225,1590
91803,56632,2600
93063,83974,2667